iter	Logloss
0	0.5925796509
1	0.5230859375
2	0.4742363831
3	0.4400846252
4	0.4150023315
5	0.3952349487
6	0.3806453156
7	0.3714628357
8	0.360468631
9	0.3531811829
10	0.3438315826
11	0.3390993134
12	0.3348897888
13	0.3305253693
14	0.3265441925
15	0.3230524353
16	0.3187776031
17	0.3164903503
18	0.3135352081
19	0.3117134491
20	0.3097216156
21	0.3084636353
22	0.307232901
23	0.3063431335
24	0.3049544861
25	0.3039477966
26	0.3024117767
27	0.3014574341
28	0.3005806824
29	0.2995860046
30	0.2986174622
31	0.2978065704
32	0.2968636932
33	0.2959998993
34	0.2954295074
35	0.294473114
36	0.2936927673
37	0.2928066193
38	0.2921538177
39	0.2914056091
40	0.2907451508
41	0.290087085
42	0.2895978516
43	0.2889685059
44	0.2883387207
45	0.2876966125
46	0.2868868469
47	0.2863178436
48	0.2857232666
49	0.2849123444
50	0.2843032867
51	0.2835739502
52	0.2827476807
53	0.2821584778
54	0.281666153
55	0.2811978577
56	0.2805372009
57	0.2797656036
58	0.2793550476
59	0.2784629333
60	0.2779435394
61	0.2772856232
62	0.2766341614
63	0.2760208801
64	0.2755126465
65	0.2747937653
66	0.2741645905
67	0.2737167999
68	0.2733588867
69	0.2727351929
70	0.2721255035
71	0.271550943
72	0.2710363434
73	0.2705080353
74	0.2699266144
75	0.2692465149
76	0.2685980255
77	0.2680128113
78	0.2674166687
79	0.2668532501
80	0.2661976532
81	0.265824231
82	0.2652883179
83	0.2648246216
84	0.2642886932
85	0.2639882294
86	0.2634172455
87	0.2628934357
88	0.2624792389
89	0.2618156952
90	0.2612359924
91	0.260817453
92	0.2604148712
93	0.2598603699
94	0.259440802
95	0.2588162079
96	0.258419339
97	0.2579483246
98	0.2575748749
99	0.2571893585
100	0.2564827118
101	0.256102832
102	0.2557081848
103	0.255129126
104	0.254642099
105	0.2541734802
106	0.2537184143
107	0.2531390961
108	0.2527345795
109	0.2523236816
110	0.2518746613
111	0.2513845703
