iter	Passed	Remaining
0	50	50250
1	104	52352
2	164	54521
3	225	56162
4	279	55532
5	343	56944
6	409	58064
7	477	59148
8	557	61383
9	629	62271
10	694	62408
11	755	62164
12	815	61886
13	865	60989
14	921	60534
15	973	59844
16	1025	59318
17	1076	58748
18	1131	58431
19	1183	57972
20	1235	57587
21	1288	57289
22	1346	57217
23	1401	57008
24	1454	56735
25	1514	56752
26	1573	56708
27	1625	56431
28	1700	56948
29	1772	57303
30	1834	57355
31	1911	57824
32	1975	57884
33	2025	57548
34	2076	57261
35	2129	57014
36	2180	56759
37	2228	56412
38	2288	56388
39	2342	56222
40	2397	56067
41	2453	55958
42	2521	56110
43	2585	56180
44	2639	56007
45	2700	56001
46	2754	55854
47	2804	55621
48	2861	55528
49	2915	55401
50	2968	55234
51	3021	55087
52	3077	54992
53	3130	54847
54	3183	54693
55	3239	54602
56	3295	54514
57	3351	54441
58	3401	54243
59	3459	54199
60	3518	54160
61	3573	54069
62	3629	53987
63	3685	53900
64	3735	53734
65	3789	53622
66	3851	53635
67	3910	53601
68	3965	53507
69	4023	53455
70	4082	53416
71	4138	53340
72	4191	53230
73	4249	53175
74	4300	53038
75	4361	53031
76	4418	52969
77	4474	52896
78	4526	52768
79	4576	52633
80	4632	52557
81	4686	52468
82	4734	52310
83	4789	52224
84	4844	52145
85	4904	52121
86	4950	51952
87	5006	51881
88	5063	51832
89	5121	51782
90	5171	51658
91	5229	51609
92	5280	51501
93	5333	51407
94	5388	51334
95	5440	51228
96	5497	51177
97	5549	51073
98	5609	51050
99	5666	50997
100	5680	50565
101	5733	50473
102	5790	50426
103	5843	50343
104	5896	50258
105	5950	50182
106	6001	50087
107	6054	50003
108	6110	49949
109	6163	49864
110	6217	49794
111	6272	49734
112	6325	49649
113	6378	49575
114	6438	49552
115	6497	49516
116	6552	49455
117	6609	49402
118	6672	49401
119	6724	49310
120	6781	49267
121	6838	49217
122	6891	49136
123	6950	49099
124	7015	49108
125	7074	49068
126	7127	48995
127	7180	48916
128	7229	48816
129	7282	48737
130	7340	48693
131	7399	48656
132	7457	48614
133	7514	48563
134	7568	48492
135	7621	48420
136	7673	48337
137	7724	48252
138	7783	48213
139	7838	48150
140	7886	48046
141	7943	47993
142	8001	47952
143	8056	47888
144	8120	47882
145	8185	47877
146	8250	47875
147	8306	47817
148	8360	47752
149	8420	47716
150	8472	47638
151	8530	47593
152	8579	47493
153	8642	47477
154	8697	47414
155	8750	47342
156	8806	47284
157	8856	47198
158	8915	47154
159	8962	47055
160	9022	47018
161	9079	46965
162	9136	46916
163	9191	46853
164	9242	46774
165	9305	46751
166	9367	46723
167	9431	46709
168	9496	46697
169	9559	46671
170	9616	46619
171	9668	46544
172	9721	46471
173	9767	46368
174	9823	46311
175	9878	46248
176	9929	46170
177	9976	46069
178	10030	46008
179	10088	45960
180	10144	45903
181	10204	45866
182	10263	45823
183	10321	45774
184	10373	45697
185	10428	45636
186	10491	45613
187	10547	45557
188	10604	45505
189	10662	45456
190	10714	45381
191	10771	45329
192	10823	45257
193	10883	45218
194	10936	45149
195	10992	45091
196	11050	45044
197	11109	44999
198	11173	44975
199	11234	44937
200	11297	44909
201	11356	44862
202	11419	44832
203	11486	44818
204	11550	44793
205	11619	44785
206	11683	44760
207	11752	44749
208	11818	44730
209	11882	44699
210	11944	44663
211	12006	44627
212	12079	44631
213	12141	44594
214	12192	44518
215	12254	44480
216	12322	44461
217	12385	44427
218	12454	44416
219	12514	44368
220	12567	44299
221	12622	44234
222	12675	44166
223	12729	44098
224	12782	44027
