iter	Logloss
0	0.6724690802
1	0.6543819055
2	0.6388004803
3	0.6249632344
4	0.6128624717
5	0.6023337902
6	0.5932309181
7	0.5851636924
8	0.5776106946
9	0.5713170314
10	0.5653835601
11	0.5602039945
12	0.5555538562
13	0.5512387505
14	0.5477956207
15	0.5446500159
16	0.5417816751
17	0.5391589127
18	0.5367245075
19	0.5345158036
20	0.5326543728
21	0.5310837051
22	0.5294995119
23	0.5282744498
24	0.5272624019
25	0.5262190252
26	0.5251059717
27	0.524180664
28	0.5233944329
29	0.5226755989
30	0.522096545
31	0.5216205208
32	0.5210547026
33	0.5204927055
34	0.5200406088
35	0.5195993659
36	0.5192741472
37	0.5188901924
38	0.5186139846
39	0.5184111334
40	0.5182077557
41	0.5180480104
42	0.5178249704
43	0.5176168476
44	0.5173766351
45	0.5171917061
46	0.5170786496
47	0.5169480055
48	0.5167833291
49	0.5166672132
50	0.5165216863
51	0.5164171516
52	0.5163066959
53	0.5162487938
54	0.5161518613
55	0.5160529767
56	0.5159821228
57	0.5159277523
58	0.5158642753
59	0.5158060227
60	0.5157388533
61	0.5156811013
62	0.5156374486
63	0.5155894035
64	0.5155411797
65	0.5155105712
66	0.5154723054
67	0.5154320135
68	0.515398579
69	0.5153567856
70	0.5153283993
71	0.5152948687
72	0.5152611356
73	0.5152280014
74	0.5151936767
75	0.5151674535
76	0.5151573305
77	0.5151360901
78	0.515114022
79	0.5150873862
80	0.5150563316
81	0.5150300836
82	0.5150088691
83	0.5149895383
84	0.5149672952
85	0.5149380723
86	0.5149143626
87	0.5148968788
88	0.5148721807
89	0.5148513512
90	0.5148252752
91	0.5148053588
92	0.5147825018
93	0.5147574761
94	0.5147375566
95	0.5147255083
96	0.5147014569
97	0.5146858526
98	0.5146641128
99	0.5146396526
100	0.5146175017
101	0.5146021594
102	0.5145835686
103	0.5145701833
104	0.5145551377
105	0.5145464872
106	0.5145279131
107	0.5145188465
108	0.5145085568
109	0.5144938751
110	0.5144874172
111	0.5144746973
112	0.5144560956
113	0.5144418237
114	0.5144288514
115	0.514412799
116	0.5143969855
117	0.5143804801
118	0.5143688023
119	0.5143560354
120	0.5143376159
121	0.5143282883
122	0.5143197998
123	0.5143100221
124	0.5143040129
125	0.5142911649
126	0.5142806474
127	0.5142674579
128	0.514262647
129	0.5142515739
130	0.5142340485
131	0.5142200305
132	0.5142071252
133	0.5141955165
134	0.5141800964
135	0.5141704156
136	0.5141519655
137	0.5141430189
138	0.5141346649
139	0.5141267827
140	0.5141108244
141	0.5141025289
142	0.5140896869
143	0.5140804386
144	0.5140693751
145	0.5140618245
146	0.5140504975
147	0.5140403898
148	0.5140249801
149	0.5140158839
150	0.5140044102
151	0.513993991
152	0.5139813006
153	0.5139690842
154	0.5139574417
155	0.5139427375
156	0.5139335346
157	0.5139261359
158	0.5139141417
159	0.5139006762
160	0.5138863671
161	0.5138753967
162	0.5138704304
163	0.5138606056
164	0.5138508004
165	0.5138375601
166	0.5138273472
167	0.5138213499
168	0.5138129125
169	0.5137981459
170	0.5137892277
171	0.5137815293
172	0.5137743605
173	0.5137698764
174	0.5137600518
175	0.5137541015
176	0.5137432939
177	0.5137352189
178	0.5137272331
179	0.5137165236
180	0.5137018363
181	0.5136918056
182	0.5136817232
183	0.5136743887
184	0.5136645182
185	0.513659641
186	0.5136468859
187	0.5136397443
188	0.5136292068
189	0.5136196777
190	0.5136147262
191	0.5136057515
192	0.5135972338
193	0.5135886115
194	0.5135785783
195	0.5135685025
196	0.5135559272
197	0.513549093
198	0.5135352748
199	0.5135302574
