iter	Passed	Remaining
0	20	4177
1	34	3397
2	47	3119
3	61	3006
4	74	2911
5	87	2842
6	100	2763
7	115	2774
8	129	2752
9	143	2727
10	158	2729
11	172	2701
12	187	2698
13	202	2690
14	216	2666
15	230	2652
16	245	2637
17	260	2631
18	275	2619
19	289	2607
20	307	2621
21	324	2625
22	340	2622
23	368	2704
24	386	2706
25	401	2689
26	416	2670
27	432	2654
28	449	2649
29	472	2678
30	488	2661
31	509	2672
32	525	2658
33	538	2630
34	554	2612
35	572	2610
36	587	2588
37	606	2585
38	620	2562
39	637	2550
40	650	2522
41	669	2518
42	685	2503
43	703	2494
44	719	2479
45	735	2461
46	752	2448
47	766	2427
48	782	2412
49	797	2391
50	812	2372
51	831	2365
52	850	2358
53	866	2343
54	882	2326
55	897	2308
56	910	2284
57	922	2257
58	939	2244
59	952	2221
60	964	2198
61	981	2184
62	995	2165
63	1008	2143
64	1020	2118
65	1034	2099
66	1047	2079
67	1061	2060
68	1075	2042
69	1087	2020
70	1101	2000
71	1115	1983
72	1130	1966
73	1143	1946
74	1162	1937
75	1176	1919
76	1187	1896
77	1199	1875
78	1213	1858
79	1229	1844
80	1243	1827
81	1257	1809
82	1276	1798
83	1288	1778
84	1299	1757
85	1316	1745
86	1331	1729
87	1344	1711
88	1361	1697
89	1374	1680
90	1389	1663
91	1402	1646
92	1415	1628
93	1428	1611
94	1442	1594
95	1456	1577
96	1472	1563
97	1490	1551
98	1503	1534
99	1521	1521
100	1539	1509
101	1556	1495
102	1574	1483
103	1589	1466
104	1605	1452
105	1617	1434
106	1628	1415
107	1639	1397
108	1651	1379
109	1662	1360
110	1674	1342
111	1686	1325
112	1701	1310
113	1716	1294
114	1729	1278
115	1741	1261
116	1757	1246
117	1770	1230
118	1785	1215
119	1799	1199
120	1813	1183
121	1825	1166
122	1838	1150
123	1853	1135
124	1865	1119
125	1880	1104
126	1894	1088
127	1906	1072
128	1920	1057
129	1934	1041
130	1948	1026
131	1963	1011
132	1977	996
133	1995	982
134	2010	967
135	2024	952
136	2037	937
137	2052	921
138	2069	908
139	2084	893
140	2098	877
141	2111	862
142	2123	846
143	2133	829
144	2153	816
145	2166	801
146	2180	786
147	2200	773
148	2219	759
149	2234	744
150	2251	730
151	2268	716
152	2293	704
153	2313	691
154	2331	677
155	2358	665
156	2380	652
157	2398	637
158	2414	622
159	2438	609
160	2461	596
161	2480	581
162	2495	566
163	2516	552
164	2532	537
165	2554	523
166	2570	507
167	2593	493
168	2612	479
169	2630	464
170	2652	449
171	2671	434
172	2686	419
173	2705	404
174	2727	389
175	2741	373
176	2760	358
177	2774	342
178	2791	327
179	2807	311
180	2825	296
181	2842	281
182	2858	265
183	2877	250
184	2890	234
185	2905	218
186	3072	213
187	3132	199
188	3147	183
189	3217	169
190	3259	153
191	3292	137
192	3362	121
193	3379	104
194	3394	87
195	3415	69
196	3437	52
197	3457	34
198	3475	17
199	3506	0
